6.208,6.2086,2025-01-02 13:09:42.489
6.1557,6.1563,2025-01-03 13:07:30.503
6.1113,6.1119,2025-01-06 13:06:28.533
6.0735,6.0741,2025-01-07 13:03:28.766
6.1315,6.1321,2025-01-08 13:08:59.784
6.089,6.0896,2025-01-09 13:03:27.828
6.0959,6.0965,2025-01-10 13:04:30.342
6.1073,6.1079,2025-01-13 13:03:30.256
6.0665,6.0671,2025-01-14 13:07:27.066
6.0371,6.0377,2025-01-15 13:06:07.747
6.0316,6.0322,2025-01-16 13:06:28.873
6.0603,6.0609,2025-01-17 13:11:29.354
6.0492,6.0498,2025-01-20 13:07:31.452
6.0434,6.044,2025-01-21 13:11:47.015
5.9668,5.9674,2025-01-22 13:03:29.96
5.9393,5.9399,2025-01-23 13:08:28.183
5.8919,5.8925,2025-01-24 13:03:26.922
5.9266,5.9272,2025-01-27 13:07:48.122
5.8924,5.893,2025-01-28 13:08:29.32
5.859,5.8596,2025-01-29 13:06:27.048
5.9,5.9006,2025-01-30 13:10:28.513
5.8295,5.8301,2025-01-31 13:03:54.994
5.8681,5.8687,2025-02-03 13:06:26.028
5.7921,5.7927,2025-02-04 13:05:40.177
5.7991,5.7997,2025-02-05 13:11:27.245
5.785,5.7856,2025-02-06 13:08:27.966
5.7551,5.7557,2025-02-07 13:10:30.349
5.7802,5.7808,2025-02-10 13:11:28.726
5.7782,5.7788,2025-02-11 13:06:28.511
5.7705,5.7711,2025-02-12 13:02:27.08
5.7782,5.7788,2025-02-13 13:03:25.728
5.7277,5.7283,2025-02-14 13:11:25.842
5.7099,5.7105,2025-02-17 13:07:25.989
5.6973,5.6979,2025-02-18 13:09:27.38
5.7081,5.7087,2025-02-19 13:07:31.091
5.7013,5.7019,2025-02-20 13:11:27.341
5.7021,5.7027,2025-02-21 13:02:27.066
5.7252,5.7258,2025-02-24 13:06:26.536
5.7773,5.7779,2025-02-25 13:08:29.097
5.7751,5.7757,2025-02-26 13:06:28.007
5.8222,5.8228,2025-02-27 13:02:27.094
5.8482,5.8488,2025-02-28 13:04:29.1
5.7908,5.7914,2025-03-05 15:36:28.199
5.7483,5.7489,2025-03-06 13:11:00.814
5.7682,5.7688,2025-03-07 13:08:41.977
5.7924,5.793,2025-03-10 13:03:01.674
5.8341,5.8346,2025-03-11 13:05:28.232
5.8262,5.8268,2025-03-12 13:08:28.781
5.8125,5.8131,2025-03-13 13:03:28.272
5.7413,5.7419,2025-03-14 13:06:19.269
5.7076,5.7082,2025-03-17 13:11:28.771
5.6846,5.6852,2025-03-18 13:05:31.31
5.6651,5.6657,2025-03-19 13:08:27.744
5.6622,5.6628,2025-03-20 13:05:28.111
5.7235,5.7241,2025-03-21 13:03:25.486
5.7397,5.7403,2025-03-24 13:06:25.642
5.6986,5.6992,2025-03-25 13:04:31.093
5.7292,5.7298,2025-03-26 13:05:51.728
5.7468,5.7474,2025-03-27 13:04:05.646
5.7654,5.766,2025-03-28 13:02:32.689
5.7416,5.7422,2025-03-31 13:11:27.506
5.7045,5.7051,2025-04-01 13:07:29.553
5.6918,5.6923,2025-04-02 13:02:29.942
5.6062,5.6067,2025-04-03 13:03:27.756
5.7771,5.7777,2025-04-04 13:07:28.528
5.8871,5.8877,2025-04-07 13:09:28.183
5.9362,5.9368,2025-04-08 13:04:41.076
6.0599,6.0605,2025-04-09 13:06:01.578
5.9109,5.9115,2025-04-10 13:09:27.619
5.8731,5.8737,2025-04-11 13:08:27.767
5.8419,5.8425,2025-04-14 13:09:48.507
5.8701,5.8707,2025-04-15 13:07:27.338
5.8802,5.8808,2025-04-16 13:10:28.345
5.8553,5.8559,2025-04-17 13:11:49.566
5.749,5.7496,2025-04-22 13:09:35.629
5.6874,5.688,2025-04-23 13:06:30.416
5.6874,5.688,2025-04-23 13:06:30.443
5.6732,5.6738,2025-04-24 13:04:29.639
5.684,5.6846,2025-04-25 13:09:26.592
5.6675,5.6681,2025-04-28 13:04:26.378
5.6461,5.6467,2025-04-29 13:05:29.951
5.6602,5.6608,2025-04-30 13:11:27.944
5.6388,5.6394,2025-05-02 13:10:27.144
5.6514,5.652,2025-05-05 13:09:28.604
5.7204,5.721,2025-05-06 13:03:25.683
5.7368,5.7375,2025-05-07 13:09:26.499
5.6854,5.686,2025-05-08 13:06:28.214
5.6505,5.6511,2025-05-09 13:08:28.902
5.6816,5.6822,2025-05-12 13:07:51.706
5.6256,5.6262,2025-05-13 13:02:29.162
5.6094,5.61,2025-05-14 13:07:28.015
5.6322,5.6328,2025-05-15 13:03:51.789
5.6919,5.6925,2025-05-16 13:02:28.147
5.6585,5.6591,2025-05-19 13:09:28.88
5.6614,5.662,2025-05-20 13:05:28.937
5.6565,5.6571,2025-05-21 13:04:32.12
5.6384,5.639,2025-05-22 13:06:27.952
5.6926,5.6932,2025-05-23 13:11:08.858
5.6613,5.6619,2025-05-26 13:06:30.445
5.6533,5.6539,2025-05-27 13:03:41.114
5.693,5.6936,2025-05-28 13:07:44.755
5.6553,5.6559,2025-05-29 13:05:33.689
5.7081,5.7087,2025-05-30 13:05:27.127
5.6931,5.6937,2025-06-02 13:09:05.107
5.6688,5.6694,2025-06-03 13:07:29.518
5.6326,5.6332,2025-06-04 13:11:29.327
5.5963,5.5969,2025-06-05 13:07:30.991
5.5941,5.5947,2025-06-06 13:08:48.677
5.5754,5.576,2025-06-09 13:04:44.493
5.5551,5.5557,2025-06-10 13:08:31.722
5.5384,5.539,2025-06-11 13:04:46.07
5.5382,5.5388,2025-06-12 13:04:26.137
5.5646,5.5652,2025-06-13 13:02:36.572
5.5117,5.5123,2025-06-16 13:09:04.338
5.4767,5.4773,2025-06-17 13:07:28.496
5.4873,5.4879,2025-06-18 13:10:27.501
5.4951,5.4957,2025-06-20 13:05:46.565
5.5207,5.5213,2025-06-23 13:09:26.9
5.4932,5.4938,2025-06-24 13:02:35.468
